Fetures;Description;Concept
IDCLI;Raw ID – unique client identifier;
Professione;Client job;Socio-Demographic
Capacita_d_ spsa;Client purchasing power;Socio-Demographic
LTV;Customer lifetime value;Loyalty
RFM_Score;Recency, Frequency, Monetary (RFM) score – higher values indicate that the client purchases more frequently and spends more;Loyalty & Purchase Behavior
Numero di Prodtti Aquistati negli ultimi 12 mesi;Number of purchased products in the last 12 months;Purchase Behavior
Eta;Client age;Socio-Demographic
Tenure;Relationship duration with the company (years);Socio-Demographic
LivelloDigitalizzazione;Digital level;Digital Literacy
GrandCentr;Equals 1 if the client lives in a large city;Socio-Demographic
Engagement;Measure of client engagement with the company (e.g., interactions with CRM channels and app usage);Loyalty
LifeCycle;Client life cycle (private life stage);Personal Life Cycle
margins12months;Margins generated by the client in the last 12 months;Purchase Behavior
GreenSurveyScore;Score measuring the client’s sensitivity to environmental/green topics;Green Sensitivity
ultimoPDTAcquistato;Last purchased product;Purchase Behavior
PDTCategTotalSpending;Product category where the client spent the most in the last 12 months;Purchase Behavior
score;Machine learning model score;ML Model Score
